NaCl_mol_dm3,trial,V_NaOH_cm3,pH
0.60,3,24.50,11.98
0.60,3,25.00,12.04
0.60,3,25.50,12.10
0.60,3,26.00,12.13
0.60,3,26.50,12.19
0.60,3,27.00,12.24
0.60,3,27.50,12.27
0.60,3,28.00,12.30
0.60,3,28.50,12.32
0.60,3,29.00,12.34
0.60,3,29.50,12.38
0.60,3,30.00,12.39
0.60,3,30.50,12.42
0.80,1,0.00,3.21
0.80,1,0.50,3.39
0.80,1,1.00,3.56
0.80,1,1.50,3.73
0.80,1,2.00,3.87
0.80,1,2.50,3.98
0.80,1,3.00,4.06
0.80,1,3.50,4.13
0.80,1,4.00,4.22
0.80,1,4.50,4.29
0.80,1,5.00,4.36
0.80,1,5.50,4.42
0.80,1,6.00,4.47
0.80,1,6.50,4.52
0.80,1,7.00,4.59
0.80,1,7.50,4.63
0.80,1,8.00,4.67
0.80,1,8.50,4.71
0.80,1,9.00,4.76
0.80,1,9.50,4.80
0.80,1,10.00,4.84
0.80,1,10.50,4.88
0.80,1,11.00,4.92
0.80,1,11.50,4.97
0.80,1,12.00,5.01
0.80,1,12.50,5.04
0.80,1,13.00,5.08
0.80,1,13.50,5.12
0.80,1,14.00,5.17
0.80,1,16.50,5.38
0.80,1,17.00,5.42
0.80,1,17.50,5.49
0.80,1,19.00,5.62
0.80,1,19.50,5.71
0.80,1,20.50,5.85
0.80,1,21.00,5.94
0.80,1,21.50,6.02
0.80,1,22.00,6.18
0.80,1,22.50,6.34
0.80,1,23.00,6.56
0.80,1,24.00,6.84
0.80,1,24.50,7.15
0.80,1,24.70,7.71
0.80,1,25.00,10.14
0.80,1,26.50,11.91
0.80,1,27.50,12.17
0.80,1,28.00,12.22
0.80,1,28.50,12.27
0.80,1,29.00,12.35
0.80,1,30.00,12.44
0.80,1,30.50,12.48
0.80,1,31.00,12.52
0.80,1,31.50,12.53
0.80,1,32.00,12.56
0.80,1,32.50,12.59
0.80,1,33.00,12.62
0.80,1,33.50,12.65
0.80,1,34.00,12.67
0.80,1,34.50,12.69
0.80,1,35.00,12.71
0.80,1,35.50,12.73
0.80,1,36.00,12.74
0.80,1,36.50,12.75
0.80,1,37.00,12.77
0.80,2,0.00,3.21
0.80,2,0.50,3.39
0.80,2,1.00,3.56
0.80,2,1.50,3.73
0.80,2,2.00,3.87
0.80,2,2.50,3.98
0.80,2,3.00,4.06
0.80,2,3.50,4.13
0.80,2,4.00,4.22
0.80,2,4.50,4.29
0.80,2,5.00,4.36
0.80,2,5.50,4.42
0.80,2,6.00,4.47
0.80,2,6.50,4.52
0.80,2,7.00,4.59
0.80,2,7.50,4.63
0.80,2,8.00,4.67
0.80,2,8.50,4.71
0.80,2,9.00,4.76
0.80,2,9.50,4.80
0.80,2,10.00,4.84
0.80,2,10.50,4.88
0.80,2,11.00,4.92
0.80,2,11.50,4.97
0.80,2,12.00,5.01
0.80,2,12.50,5.04
0.80,2,13.00,5.08
0.80,2,13.50,5.12
0.80,2,14.00,5.17
0.80,2,16.50,5.38
0.80,2,17.00,5.42
0.80,2,17.50,5.49
0.80,2,19.00,5.62
0.80,2,19.50,5.71
0.80,2,20.50,5.85
0.80,2,21.00,5.94
0.80,2,21.50,6.02
0.80,2,22.00,6.18
0.80,2,22.50,6.34
0.80,2,23.00,6.56
0.80,2,24.00,6.84
0.80,2,24.50,7.15
0.80,2,24.70,7.71
0.80,2,25.00,10.14
0.80,2,26.50,11.91
0.80,2,27.50,12.17
0.80,2,28.00,12.22
0.80,2,28.50,12.27
0.80,2,29.00,12.35
0.80,2,30.00,12.44
0.80,2,30.50,12.48
0.80,2,31.00,12.52
0.80,2,31.50,12.53
0.80,2,32.00,12.56
0.80,2,32.50,12.59
0.80,2,33.00,12.62
0.80,2,33.50,12.65
0.80,2,34.00,12.67
0.80,2,34.50,12.69
0.80,2,35.00,12.71
0.80,2,35.50,12.73
0.80,2,36.00,12.74
0.80,2,36.50,12.75
0.80,2,37.00,12.77
0.80,3,0.00,3.26
0.80,3,0.50,3.46
0.80,3,1.00,3.62
0.80,3,1.50,3.78
0.80,3,2.00,3.95
0.80,3,2.50,4.04
0.80,3,3.00,4.10
0.80,3,3.50,4.19
0.80,3,4.00,4.26
0.80,3,4.50,4.33
0.80,3,5.00,4.40
0.80,3,6.00,4.51
0.80,3,6.50,4.56
0.80,3,7.00,4.61
0.80,3,7.50,4.65
0.80,3,8.00,4.71
0.80,3,8.50,4.76
0.80,3,9.00,4.80
0.80,3,10.00,4.87
0.80,3,10.50,4.91
0.80,3,11.00,4.95
0.80,3,11.50,4.99
0.80,3,12.00,5.02
0.80,3,12.50,5.06
0.80,3,13.00,5.12
0.80,3,13.50,5.15
0.80,3,14.00,5.20
0.80,3,14.50,5.23
0.80,3,15.00,5.27
0.80,3,15.20,5.30
0.80,3,15.50,5.32
0.80,3,15.70,5.36
0.80,3,16.00,5.38
0.80,3,16.20,5.41
0.80,3,16.50,5.42
0.80,3,18.00,5.57
0.80,3,18.50,5.61
0.80,3,19.00,5.68
0.80,3,19.50,5.73
0.80,3,20.00,5.84
0.80,3,21.00,5.94
0.80,3,21.50,6.00
0.80,3,21.70,6.05
0.80,3,22.00,6.15
0.80,3,22.20,6.22
0.80,3,22.50,6.33
0.80,3,23.00,6.55
0.80,3,23.20,6.68
0.80,3,23.50,6.92
0.80,3,23.70,7.13
0.80,3,24.50,7.67
0.80,3,25.00,8.89
0.80,3,25.50,10.25
0.80,3,26.00,11.11
0.80,3,26.20,11.61
0.80,3,26.50,11.85
0.80,3,27.00,12.00
0.80,3,28.00,12.19
0.80,3,28.20,12.23
0.80,3,28.50,12.26
0.80,3,29.00,12.32
0.80,3,29.20,12.36
0.80,3,29.50,12.38
0.80,3,30.00,12.40
1.00,1,0.00,nan
1.00,1,0.50,nan
1.00,1,1.00,nan
1.00,1,1.50,nan
1.00,1,2.00,nan
1.00,1,2.50,nan
1.00,1,3.00,nan
1.00,1,3.50,nan
1.00,1,4.00,nan
1.00,1,4.50,nan
1.00,1,5.00,nan
1.00,1,5.50,nan
1.00,1,6.00,nan
1.00,1,6.50,nan
1.00,1,7.00,nan
1.00,1,7.50,nan
1.00,1,8.00,nan
1.00,1,8.50,nan
1.00,1,9.00,nan
1.00,1,9.50,nan
1.00,1,10.00,nan
1.00,1,10.50,nan
1.00,1,11.00,nan
1.00,1,11.50,nan
1.00,1,12.00,nan
1.00,1,12.50,nan
1.00,1,13.00,nan
1.00,1,13.50,nan
1.00,1,14.00,nan
1.00,1,14.50,nan
1.00,1,15.00,nan
1.00,1,15.50,nan
1.00,1,16.00,nan
1.00,1,16.50,nan
1.00,1,17.00,nan
1.00,1,17.50,nan
1.00,1,18.00,nan
1.00,1,18.50,nan
1.00,1,19.00,nan
1.00,1,19.50,nan
1.00,1,20.00,nan
1.00,1,20.50,nan
1.00,1,21.00,nan
1.00,1,21.50,nan
1.00,1,22.00,nan
1.00,1,22.50,nan
1.00,1,23.00,nan
1.00,1,23.50,nan
1.00,1,24.00,nan
1.00,1,24.50,nan
1.00,1,25.00,nan
1.00,1,25.50,nan
1.00,1,26.50,nan
1.00,1,27.50,nan
1.00,1,28.50,nan
1.00,1,29.50,nan
1.00,1,30.50,nan
1.00,1,31.50,nan
1.00,2,0.00,3.47
1.00,2,0.50,3.66
1.00,2,1.00,3.83
1.00,2,1.50,3.99
1.00,2,2.00,4.12
1.00,2,2.50,4.24
1.00,2,3.00,4.34
1.00,2,3.50,4.42
1.00,2,4.00,4.48
1.00,2,4.50,4.53
1.00,2,5.00,4.56
1.00,2,5.50,4.64
1.00,2,6.00,4.70
1.00,2,6.50,4.70
1.00,2,7.00,4.73
1.00,2,7.50,4.77
1.00,2,8.00,4.80
1.00,2,8.50,4.84
1.00,2,9.00,4.88
1.00,2,9.50,4.91
1.00,2,10.00,4.95
1.00,2,10.50,4.98
1.00,2,11.00,5.02
1.00,2,11.50,5.05
1.00,2,12.00,5.08
1.00,2,12.50,5.12
1.00,2,13.00,5.15
1.00,2,13.50,5.18
1.00,2,14.00,5.22
1.00,2,14.50,5.25
1.00,2,15.00,5.29
1.00,2,15.50,5.33
1.00,2,16.00,5.37
1.00,2,16.50,5.41
1.00,2,17.00,5.45
1.00,2,17.50,5.49
1.00,2,18.00,5.53
1.00,2,18.50,5.58
1.00,2,19.00,6.58
1.00,2,19.50,6.75
1.00,2,20.00,6.83
1.00,2,20.50,6.84
1.00,2,21.00,6.86
1.00,2,21.50,7.04
1.00,2,22.00,7.42
1.00,2,22.50,8.02
1.00,2,23.00,8.80
1.00,2,23.50,9.61
1.00,2,24.00,10.43
1.00,2,24.50,11.27
1.00,2,25.00,11.84
1.00,2,25.50,12.00
1.00,2,26.50,12.25
1.00,2,27.50,12.50
1.00,2,28.50,12.64
1.00,2,29.50,12.73
1.00,2,30.50,12.79
1.00,2,31.50,12.83
1.00,3,0.00,3.42
1.00,3,0.50,3.64
1.00,3,1.00,3.84
1.00,3,1.50,4.01
1.00,3,2.00,4.16
1.00,3,2.50,4.28
1.00,3,3.00,4.38
1.00,3,3.50,4.45
1.00,3,4.00,4.50
1.00,3,4.50,4.52
1.00,3,5.00,4.54
1.00,3,5.50,4.57
1.00,3,6.00,4.61
1.00,3,6.50,4.65
1.00,3,7.00,4.68
1.00,3,7.50,4.71
1.00,3,8.00,4.74
1.00,3,8.50,4.78
1.00,3,9.00,4.81
1.00,3,9.50,4.84
1.00,3,10.00,4.87
1.00,3,10.50,4.90
1.00,3,11.00,4.93
1.00,3,11.50,4.96
1.00,3,12.00,5.00
1.00,3,12.50,5.03
1.00,3,13.00,5.06
1.00,3,13.50,5.10
1.00,3,14.00,5.14
1.00,3,14.50,5.18
1.00,3,15.00,5.23
1.00,3,15.50,5.23
1.00,3,16.00,5.38
1.00,3,16.50,5.43
1.00,3,17.00,5.48
1.00,3,17.50,5.89
1.00,3,18.00,6.14
1.00,3,18.50,6.48
1.00,3,19.00,6.77
1.00,3,19.50,6.92
1.00,3,20.50,7.17
1.00,3,21.50,8.20
1.00,3,22.50,10.88
1.00,3,23.50,12.14
1.00,3,24.50,12.44
1.00,3,25.50,12.59
1.00,3,26.50,12.66
1.00,3,27.50,12.72
1.00,3,28.50,12.78
1.00,3,29.50,12.82
1.00,3,30.50,12.86
1.00,3,31.50,12.88
1.00,4,0.00,3.41
1.00,4,0.50,3.63
1.00,4,1.00,3.83
1.00,4,1.50,4.00
1.00,4,2.00,4.15
1.00,4,2.50,4.27
1.00,4,3.00,4.37
1.00,4,3.50,4.44
1.00,4,4.00,4.48
1.00,4,4.50,4.51
1.00,4,5.00,4.53
1.00,4,5.50,4.57
1.00,4,6.00,4.61
1.00,4,6.50,4.64
1.00,4,7.00,4.68
1.00,4,7.50,4.71
1.00,4,8.00,4.75
1.00,4,8.50,4.78
1.00,4,9.00,4.81
1.00,4,9.50,4.84
1.00,4,10.00,4.87
1.00,4,10.50,4.91
1.00,4,11.00,4.94
1.00,4,11.50,4.97
1.00,4,12.00,5.01
1.00,4,12.50,5.04
1.00,4,13.00,5.08
1.00,4,13.50,5.12
1.00,4,14.00,5.16
1.00,4,14.50,5.20
1.00,4,15.00,5.24
1.00,4,15.50,5.24
1.00,4,16.00,5.41
1.00,4,16.50,5.46
1.00,4,17.00,5.50
1.00,4,17.50,5.91
1.00,4,18.00,6.15
1.00,4,18.50,6.48
1.00,4,19.00,6.76
1.00,4,19.50,6.90
1.00,4,20.50,7.15
1.00,4,21.50,8.18
1.00,4,22.50,10.89
1.00,4,23.50,12.14
1.00,4,24.50,12.45
1.00,4,25.50,12.61
1.00,4,26.50,12.68
1.00,4,27.50,12.72
1.00,4,28.50,12.77
1.00,4,29.50,12.82
1.00,4,30.50,12.87
1.00,4,31.50,12.89
